Country,IMF,World Bank,CIA,,log GDP/p,latitude,ancestry,gap,afg,alb,dza,ago,arg,arm,aus,aut,aze,bhr,bgd,blr,bel,blz,ben,btn,bol,bih,bwa,bra,bgr,bfa,bdi,khm,cmr,can,cpv,caf,tcd,chl,chn,col,com,zar,cog,cil,cri,civ,hrv,cub,cyp,cze,dnk,dom,tmp,ecu,egy,slv,gnq,eri,est,eth,fji,fin,fra,gab,gmb,geo,deu,gha,grc,gtm,gin,gnb,guy,hti,hnd,hkg,hun,isl,ind,idn,irn,irq,irl,isr,ita,jam,jpn,jor,kaz,ken,prk,kor,kwt,kgz,lao,lva,lbn,lso,lbr,lby,ltu,lux,mkd,mdg,mwi,mys,mli,mlt,mrt,mus,mex,mda,mng,mar,moz,mmr,nam,npl,nld,nzl,nic,ner,nga,niu,nor,omn,pak,pan,png,pry,per,phl,pol,prt,pri,qat,rom,rus,rwa,vct,wsm,stp,sau,sen,yug,sle,sgp,svk,svn,som,zaf,esp,lka,sdn,swz,swe,che,syr,oan,tjk,tza,tha,tgo,ton,tto,tun,tur,tkm,uga,ukr,are,gbr,usa,ury,uzb,ven,vnm,yem,zmb,zwe
Afghanistan,"2,116","2,093","1,500",,7.646353722,33.93911,34.7443618,0.8052518,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.09,0,0,0,0,0
Albania,"20,632","21,395","14,500",,9.970912529,41.153332,41.14194144,-0.01139056,0,0.963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,"16,483","17,027","11,000",,9.742555598,28.033886,28.0339,1.4E-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,"7,153","8,041","5,900",,8.992308733,11.202692,11.82948311,0.626791107,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,0,0,0,0,0,0,0,0
Argentina,"26,390","29,363","21,500",,10.28749066,38.416097,42.08302775,3.666930745,0,0,0,0.00545905,0.05,0,0,0,0,0,0,0,0,0,0.0009863,0,0,0,0,0,0,0,0,0,0.0004524,0,0,0,0,0,0,0,0,0.00118675,0.00166145,0,0,0.0000948,0,0,0,0,0,0,0,0,0,0,0.0000936,0,0,0,0,0,0.03085,0.00149875,0.0000668,0,0.03255,0.004238,0,0,0.0002093,0.0001002,0,0,0,0,0,0,0,0,0,0,0,0.0045,0.44136,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0.0002212,0,0.0001275,0,0,0.00019072,0,0,0,0,0,0,0,0,0,0,0.00030396,0,0,0,0,0,0,0,0.001877,0,0,0,0,0,0,0,0,0,0.030255,0.000555,0,0,0.0005525,0.0302125,0,0,0,0.000234,0,0.000167,0,0.0004347,0,0,0,0,0,0.30222,0,0,0,0,0,0.0045,0,0,0.00010132,0,0.0004227,0,0,0,0.001105,0,0,0.0002125,0,0.03,0,0,0,0,0,0,0,0
Armenia,"21,746","23,055","14,200",,10.28749066,40.069099,40.16016435,0.09106535,0,0,0,0,0,0.975,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,"66,627","69,115","49,800",,11.14352706,25.274398,50.66167419,25.38727619,0,0,0,0,0,0.001,0.02,0.002,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0.008,0,0,0.001,0.004,0,0,0,0.002,0,0,0,0,0,0,0.001,0.00535,0,0,0,0.03605,0,0.018,0,0,0,0,0,0,0,0.004,0,0.008,0.003,0,0.001,0.086,0,0.03456,0,0.002,0,0,0,0,0.002,0,0,0,0.001,0.014,0,0,0,0.0000525,0,0.005,0,0,0.001,0,0.008,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0.002,0,0,0,0,0,0,0.008,0.009105,0.002805,0,0,0.0012275,0.0040875,0,0,0,0,0,0,0.003,0,0,0.001,0.001,0,0,0.01022,0,0,0,0.003,0.002,0,0,0,0,0.002,0,0,0,0,0.003455,0,0,0.0020875,0,0.629,0,0,0,0,0.009,0,0,0
Austria,"69,460","73,751","54,100",,11.20844983,47.516231,47.37008738,-0.14614362,0,0,0,0,0,0,0,0.952,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,"9,416","9,066","5,900",,9.112286432,23.684994,23.6231638,-0.0618302,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,"25,685","30,752","19,800",,10.33371031,53.709807,54.608443,0.898636,0,0,0,0,0,0,0,0,0,0,0,0.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,"68,079","70,456","51,700",,11.16274368,50.503887,49.99416633,-0.50972067,0,0,0.006,0,0,0,0,0,0,0,0,0,0.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0
